Name,OriginID,DestinationID,Total_Length_m
Abv_FremontWeir - BattleCk_CNFH,3,24,285056.1129
Abv_FremontWeir - BattleCk_RST_Rel,3,25,285101.3173
Abv_FremontWeir - BlwCowCr,3,47,289312.3812
Abv_FremontWeir - Blw_ClearCr,3,35,304024.9551
Abv_FremontWeir - Bonnyview_Rel,3,52,308979.3314
Abv_FremontWeir - Blw_Cypress,3,36,312563.0928
Abv_FremontWeir - Hwy 44 Bridge,3,93,316285.3771
Abv_FremontWeir - Caldwell Park_Rel,3,63,319802.5111
Abv_Otter_Island - Abv_Otter_Island,4,4,0
Abv_Otter_Island - Abv_WoodsonBr,4,6,5823.120508
Abv_Otter_Island - DeerCk4,4,76,10506.37981
Abv_Otter_Island - DeerCk3,4,75,13563.18586
Abv_Otter_Island - DeerCk2,4,74,13858.70355
Abv_Otter_Island - GCID_abv,4,82,15304.74594
Abv_Otter_Island - GCID_blw,4,83,15304.74594
Abv_Otter_Island - DeerCk1,4,73,17542.28512
Abv_Otter_Island - DeerCk_RST,4,72,22414.55252
Abv_Otter_Island - Mill_Ck_Conf,4,105,22652.77978
Abv_Otter_Island - MillCk3,4,110,24383.79319
Abv_Otter_Island - Blw_IrvineFinch,4,40,24624.41088
Abv_Otter_Island - MillCk2,4,109,25601.72595
Abv_Otter_Island - MillCk1.5,4,108,29248.0187
Abv_Otter_Island - MillCk1,4,107,30848.88574
Abv_Otter_Island - Hunters,4,92,31358.31604
Abv_Otter_Island - MillCk_RST_Rel,4,106,31632.80516
Abv_Otter_Island - AntelopeConf,4,13,36096.17281
Abv_Otter_Island - Blw_Salt,4,42,37852.62979
Abv_Otter_Island - JV_Glide,4,96,39614.83819
Abv_Otter_Island - AntelopeCk2,4,12,39735.21869
Abv_Otter_Island - Abv_RBPP,4,5,42229.4546
Abv_Otter_Island - RedBluffDivDam,4,120,42229.4546
Abv_Otter_Island - AntelopeCk1,4,11,44460.79155
Abv_Otter_Island - Adobe,4,10,49439.5355
Abv_Otter_Island - BlwOrd,4,50,57316.35657
Abv_Otter_Island - Blw_Paynes_Ck,4,41,57350.38901
Abv_Otter_Island - ButteBr,4,62,74818.67091
Abv_Otter_Island - BlwButteBr,4,45,80502.76448
Abv_Otter_Island - Colusa AC3,4,67,87500.00529
Abv_Otter_Island - Battle_Conf,4,22,88488.54757
Abv_Otter_Island - BattleCk4,4,32,89408.28584
Abv_Otter_Island - BattleCk3,4,31,92486.35243
Abv_Otter_Island - BattleCk1_2014,4,27,94861.24186
Abv_Otter_Island - BattleCk2,4,28,95982.06344
Abv_Otter_Island - BattleCk_Bridge,4,23,96429.04073
Abv_Otter_Island - BattleCk2_2014,4,29,97361.22601
Abv_Otter_Island - BattleCk1,4,26,97730.28769
Abv_Otter_Island - BattleCk250BlwFL,4,30,97979.68475
Abv_Otter_Island - BattleCk_CNFH,4,24,98091.21693
Abv_Otter_Island - BattleCk_RST_Rel,4,25,98136.42134
Abv_Otter_Island - Colusa AC2,4,66,100249.832
Abv_Otter_Island - BlwCowCr,4,47,102347.4852
Abv_Otter_Island - AbvColusaBrRT,4,8,104512.2427
Abv_Otter_Island - AbvColusaBr,4,7,111038.5626
Abv_Otter_Island - BlwMoulton,4,49,111038.5626
Abv_Otter_Island - Blw_ClearCr,4,35,117060.0591
Abv_Otter_Island - Bonnyview_Rel,4,52,122014.4354
Abv_Otter_Island - Colusa BC2,4,68,122494.9727
Abv_Otter_Island - Blw_Cypress,4,36,125598.1968
Abv_Otter_Island - MeridanBr,4,103,127879.1115
Abv_Otter_Island - Hwy 44 Bridge,4,93,129320.4811
Abv_Otter_Island - Colusa BC3,4,69,131496.7609
Abv_Otter_Island - Caldwell Park_Rel,4,63,132837.6151
Abv_Otter_Island - Abv Grimes,4,2,137768.1834
Abv_Otter_Island - SutterBypass Weir2 RST,4,132,143388.8131
Abv_Otter_Island - Butte0.5,4,55,143434.1184
Abv_Otter_Island - Butte1,4,56,143878.9486
Abv_Otter_Island - AbvTisdale,4,9,149784.3434
Abv_Otter_Island - Butte2,4,57,154476.3391
Abv_Otter_Island - BlwTisdale,4,51,157775.108
Abv_Otter_Island - Butte3,4,58,166531.2157
Abv_Otter_Island - Butte4,4,59,168096.1238
Abv_Otter_Island - Bullock Bend,4,54,172144.1315
Abv_Otter_Island - Butte5,4,60,174889.629
Abv_Otter_Island - BlwChinaBend,4,46,178810.3811
Abv_Otter_Island - Butte6,4,61,185312.4846
Abv_Otter_Island - Abv_FremontWeir,4,3,186964.896
Abv_Otter_Island - Blw_FRConf,4,37,186964.896
Abv_Otter_Island - Blw_FremontWeir,4,38,186964.896
Abv_Otter_Island - KnightsLanding,4,100,195879.5395
Abv_Otter_Island - Knights_RST,4,99,197349.1563
Abv_Otter_Island - BC_Beach,4,33,197654.6691
Abv_Otter_Island - KnightsLandingBr,4,101,198465.8447
Abv_Otter_Island - StarBend,4,129,215475.7
Abv_Otter_Island - AR_Mouth,4,17,218622.3855
Abv_Otter_Island - TowerBridge,4,138,220067.8592
Abv_Otter_Island - I80_Br,4,95,221322.892
Abv_Otter_Island - FR Boyds Release,4,78,221785.0565
