,LOC,GEN.x,RKM.x,GenRKM.x,LAT,LON,Type,GEN.y,RKM.y,GenRKM.y,Route,Entrance_Exit,color,check,Route_v2
231,Jersey3,SJ_JerseyPt,95.57,95.569,38.05212,-121.69429,JSATS,SJ_JerseyPt,95.57,95.569,Georgiana/DCC,slough,blue,#800000,Central Delta
116,ThreeMile1,ThreeMile,94.449,94.449,38.11595,-121.68571,JSATS,ThreeMile,94.449,94.449,Threemile,enter,green,#800000,Central Delta
117,ThreeMile2,ThreeMile,94.448,94.449,38.113547,-121.687289,JSATS,ThreeMile,94.448,94.449,Threemile,enter,green,#800000,Central Delta
175,Above_Hood_2,Above_Hood,138.869,138.868,38.36794,-121.5223,JSATS,Above_Hood,138.869,138.868,Mainstem,Mainstem,orange,#f58231,Mainstem
220,RT_Hood,Above_Hood,138.868,138.868,38.36805,-121.52071,JSATS,Above_Hood,138.868,138.868,Mainstem,Mainstem,orange,#f58231,Mainstem
219,BlwHood_2,Blw_Hood,134.421,134.42,38.34518,-121.55553,JSATS,Blw_Hood,134.421,134.42,Mainstem,Mainstem,orange,#f58231,Mainstem
26,BlSteam1,Blw_Steamboat,128.608,128.608,38.3,-121.56998,JSATS,Blw_Steamboat,128.608,128.608,Mainstem,Mainstem,orange,#f58231,Mainstem
27,BlSteam2,Blw_Steamboat,128.609,128.608,38.30004,-121.56871,JSATS,Blw_Steamboat,128.609,128.608,Mainstem,Mainstem,orange,#f58231,Mainstem
30,Blw_Sutter_1,Blw_Sutter,131.508,131.508,38.32402,-121.57584,JSATS,Blw_Sutter,131.508,131.508,Mainstem,Mainstem,orange,#f58231,Mainstem
31,Blw_Sutter_2,Blw_Sutter,131.509,131.508,38.32445,-121.57745,JSATS,Blw_Sutter,131.509,131.508,Mainstem,Mainstem,orange,#f58231,Mainstem
70,Freeport2,Freeport,152.439,152.438,38.46594,-121.50357,JSATS,Freeport,152.439,152.438,Mainstem,Mainstem,orange,#f58231,Mainstem
180,Freeport1,Freeport,152.438,152.438,38.46467,-121.50501,JSATS,Freeport,152.438,152.438,Mainstem,Mainstem,orange,#f58231,Mainstem
168,FreeportBr1,FreeportBr,151.101,151.1,38.455486,-121.502344,JSATS,FreeportBr,151.101,151.1,Mainstem,Mainstem,orange,#f58231,Mainstem
169,FreeportBr2,FreeportBr,151.102,151.1,38.45561,-121.501556,JSATS,FreeportBr,151.102,151.1,Mainstem,Mainstem,orange,#f58231,Mainstem
82,Hood_1,Hood,138.228,138.228,38.3617,-121.52033,JSATS,Hood,138.228,138.228,Mainstem,Mainstem,orange,#f58231,Mainstem
83,Hood_2,Hood,138.229,138.228,38.36219,-121.52247,JSATS,Hood,138.229,138.228,Mainstem,Mainstem,orange,#f58231,Mainstem
188,Hood_RR,Hood_RT,139,139,38.37464,-121.52444,JSATS,Hood_RT,139,139,Mainstem,Mainstem,orange,#f58231,Mainstem
195,RT_Hood_East,Hood_RT,139.001,139,38.3741,-121.523,JSATS,Hood_RT,139.001,139,Mainstem,Mainstem,orange,#f58231,Mainstem
